2020-08-17 09:37:24.476 DEBUG [  restartedMain] [.c.l.ClasspathLoggingApplicationListener] [onApplicationEvent,51] : Application started with classpath: [file:/D:/project_java/jiantai/target/classes/]
2020-08-17 09:37:24.544 DEBUG [  restartedMain] [                  com.JiantaiApplication] [logStarting,56] : Running with Spring Boot v2.3.2.RELEASE, Spring v5.2.8.RELEASE
2020-08-17 09:37:24.545 DEBUG [  restartedMain] [o.springframework.boot.SpringApplication] [      load,679] : Loading source class com.JiantaiApplication
2020-08-17 09:37:24.593 DEBUG [  restartedMain] [ o.s.b.c.c.ConfigFileApplicationListener] [     logTo,222] : Loaded config file 'file:/D:/project_java/jiantai/target/classes/application.yml' (classpath:/application.yml)
2020-08-17 09:37:24.594 DEBUG [  restartedMain] [o.s.boot.devtools.restart.ChangeableUrls] [     logTo,222] : Matching URLs for reloading : [file:/D:/project_java/jiantai/target/classes/]
2020-08-17 09:37:24.594 DEBUG [  restartedMain] [o.s.b.devtools.settings.DevToolsSettings] [     logTo,222] : Included patterns for restart : []
2020-08-17 09:37:24.594 DEBUG [  restartedMain] [o.s.b.devtools.settings.DevToolsSettings] [     logTo,222] : Excluded patterns for restart : [/spring-boot-actuator/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot/(bin|build|out)/, /spring-boot-starter-[\w-]+/, /spring-boot-autoconfigure/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/]
2020-08-17 09:37:24.595 DEBUG [  restartedMain] [ConfigServletWebServerApplicationContext] [prepareRefresh,596] : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2ca7b2b9
2020-08-17 09:37:24.609 DEBUG [  restartedMain] [    o.s.b.f.s.DefaultListableBeanFactory] [getSingleton,217] : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2020-08-17 09:37:24.618 DEBUG [  restartedMain] [    o.s.b.f.s.DefaultListableBeanFactory] [getSingleton,217] : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2020-08-17 09:37:24.925 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\config\InterceptorCfg.class]
2020-08-17 09:37:24.966 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\controller\AdminController.class]
2020-08-17 09:37:24.968 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\controller\JianTaiDataController.class]
2020-08-17 09:37:24.969 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\controller\UserController.class]
2020-08-17 09:37:24.977 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\interceptor\MyInterceptor.class]
2020-08-17 09:37:24.978 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,441] : Ignored because not a concrete top-level class: file [D:\project_java\jiantai\target\classes\com\jiantai\service\JianTaiDataService.class]
2020-08-17 09:37:24.979 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,441] : Ignored because not a concrete top-level class: file [D:\project_java\jiantai\target\classes\com\jiantai\service\UserService.class]
2020-08-17 09:37:24.979 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\service\impl\AdminServiceImpl.class]
2020-08-17 09:37:24.980 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\service\impl\JianTaiDataServiceImpl.class]
2020-08-17 09:37:24.980 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\service\impl\UserServiceImpl.class]
2020-08-17 09:37:25.400 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: URL [jar:file:/C:/Users/87633/.m2/repository/com/alibaba/fastjson/1.2.72/fastjson-1.2.72.jar!/com/alibaba/fastjson/support/spring/JSONPResponseBodyAdvice.class]
2020-08-17 09:37:25.401 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: URL [jar:file:/C:/Users/87633/.m2/repository/com/alibaba/fastjson/1.2.72/fastjson-1.2.72.jar!/com/alibaba/fastjson/support/spring/FastJsonViewResponseBodyAdvice.class]
2020-08-17 09:37:25.402 DEBUG [  restartedMain] [  o.s.c.a.ClassPathBeanDefinitionScanner] [scanCandidateComponents,435] : Identified candidate component class: URL [jar:file:/C:/Users/87633/.m2/repository/com/alibaba/fastjson/1.2.72/fastjson-1.2.72.jar!/com/alibaba/fastjson/support/spring/FastJsonpResponseBodyAdvice.class]
2020-08-17 09:37:25.513 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.533 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.535 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.536 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.536 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.538 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.datasource.url' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.550 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.551 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.599 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.devtools.restart.enabled' in PropertySource 'configurationProperties' with value of type Boolean
2020-08-17 09:37:25.637 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.698 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.699 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.datasource.type' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.700 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.708 DEBUG [  restartedMain] [    o.s.b.f.s.DefaultListableBeanFactory] [getSingleton,217] : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2020-08-17 09:37:25.714 DEBUG [  restartedMain] [       o.s.b.a.AutoConfigurationPackages] [       get,212] : @EnableAutoConfiguration was declared on a class in the package 'com'. Automatic @Repository and @Entity scanning is enabled.
2020-08-17 09:37:25.714 DEBUG [  restartedMain] [      o.m.s.b.a.MybatisAutoConfiguration] [registerBeanDefinitions,224] : Searching for mappers annotated with @Mapper
2020-08-17 09:37:25.715 DEBUG [  restartedMain] [      o.m.s.b.a.MybatisAutoConfiguration] [lambda$registerBeanDefinitions$0,228] : Using auto-configuration base package 'com'
2020-08-17 09:37:25.725 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.727 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
2020-08-17 09:37:25.734 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.freemarker.enabled' in PropertySource 'configurationProperties' with value of type Boolean
2020-08-17 09:37:25.792 DEBUG [  restartedMain] [ o.s.c.e.PropertySourcesPropertyResolver] [logKeyFound,115] : Found key 'spring.devtools.restart.enabled' in PropertySource 'configurationProperties' with value of type Boolean
2020-08-17 09:37:25.812 DEBUG [  restartedMain] [    o.s.b.f.s.DefaultListableBeanFactory] [getSingleton,217] : Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
2020-08-17 09:37:25.814 DEBUG [  restartedMain] [    o.s.b.f.s.DefaultListableBeanFactory] [getSingleton,217] : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2020-08-17 09:37:25.824 DEBUG [  restartedMain] [    org.apache.ibatis.logging.LogFactory] [setImplementation,105] : Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-08-17 09:37:25.962 DEBUG [  restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\dao\AdminDao.class]
2020-08-17 09:37:25.963 DEBUG [  restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\dao\JianTaiDataDao.class]
2020-08-17 09:37:25.963 DEBUG [  restartedMain] [o.m.spring.mapper.ClassPathMapperScanner] [scanCandidateComponents,435] : Identified candidate component class: file [D:\project_java\jiantai\target\classes\com\jiantai\dao\UserDao.class]
2020-08-17 09:37:26.055 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.codahale.metrics.health.HealthCheck] of type-filtered class [com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker$Connection99Percent]
2020-08-17 09:37:26.056 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.codahale.metrics.health.HealthCheck] of type-filtered class [com.zaxxer.hikari.metrics.dropwizard.CodahaleHealthChecker$ConnectivityHealthCheck]
2020-08-17 09:37:26.056 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [io.prometheus.client.Collector] of type-filtered class [com.zaxxer.hikari.metrics.prometheus.HikariCPCollector]
